Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Amphenol_901-144_Vertical,1,Antenna_Shield,
BT1,BatteryHolder_Keystone_1042_1x18650,1,Battery_Cell,
"C1, C12, C13, C2",0402,4,1uF,
"C10, C5, C6, C8",0402,4,4.7uF,
"C11, C14, C15, C16, C18, C19, C3, C4, C7, C9",0402,10,100nF,
C17,0402,1,470nF,
"C20, C21",0402,2,47nF,
C22,0402,1,39pF,
"C23, C24",0402,2,3.3pF,
C25,0402,1,1nF,
"C26, C27",0402,2,12pF,
"D1, D2",0402,2,LED,
FB1,0402,1,FerriteBead,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Power select,
L1,0402,1,3.3uH,
L2,0402,1,15uH,
"L3, L4",0402,2,47uH,
"R1, R11, R12, R13, R14, R16, R2, R5, R6",0402,9,10k,
R10,0402,1,100k,
R15,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
R17,0402,1,100,
"R3, R4",0402,2,5.1k,
R7,0402,1,600,
R8,0402,1,35.7k,
R9,0402,1,33k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,Thermistor_NTC,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L052C8Tx,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,SX1262IMLTRT,
U3,SOT-666,1,USBLC6-2P6,
U4,SOT-23-5,1,AP2112K-3.3,
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,BQ25176J,
U6,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
U7,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,1,LPS25HB,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U9,SOT-363_SC-70-6,1,PE4259,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32Mhz,
