Designator,Mid X,Mid Y,Rotation,Layer
AE1,215.5,-84.66,0.0,top
BT1,172.0,-108.75,0.0,top
C1,137.5,-85.25,0.0,top
C10,178.25,-79.75,90.0,top
C11,165.75,-74.0,0.0,top
C12,167.25,-93.75,0.0,top
C13,174.73,-92.75,180.0,top
C14,215.98,-65.125,0.0,top
C15,129.0,-61.5,180.0,top
C16,125.25,-65.75,90.0,top
C17,195.475,-88.5,270.0,top
C18,194.975,-90.75,180.0,top
C19,200.53,-86.75,0.0,top
C2,134.25,-82.75,180.0,top
C20,202.475,-85.75,180.0,top
C21,202.475,-86.75,180.0,top
C22,208.95,-89.8,180.0,top
C23,210.4,-90.28,270.0,top
C24,213.34,-90.275,270.0,top
C25,206.52,-91.5,180.0,top
C26,199.52,-82.0,0.0,top
C27,196.25,-84.77,270.0,top
C3,181.77,-69.25,0.0,top
C4,187.75,-83.23,270.0,top
C5,181.77,-70.25,0.0,top
C6,181.77,-71.25,0.0,top
C7,191.25,-73.25,0.0,top
C8,191.27,-74.25,0.0,top
C9,177.25,-78.73,270.0,top
D1,174.75,-94.75,0.0,top
D2,174.75,-95.75,0.0,top
FB1,127.75,-96.0,0.0,top
FL1,203.75,-89.5,0.0,top
J1,126.71,-90.0,270.0,top
J2,198.73,-65.5,270.0,top
J5,128.585,-81.705,90.0,top
L1,178.75,-78.25,180.0,top
L2,194.475,-89.25,90.0,top
L3,201.975,-88.265,270.0,top
L4,211.87,-89.8,0.0,top
R1,184.0,-70.75,270.0,top
R10,154.49,-96.5,180.0,top
R11,215.5,-63.5,90.0,top
R12,215.5,-61.5,90.0,top
R13,129.0,-65.25,90.0,top
R14,131.75,-62.5,90.0,top
R15,152.0,-77.0,0.0,top
R16,152.0,-73.0,0.0,top
R17,206.525,-92.5,0.0,top
R2,178.74,-77.25,0.0,top
R3,132.51,-88.75,0.0,top
R4,132.51,-91.75,0.0,top
R5,176.76,-94.75,180.0,top
R6,176.76,-95.75,180.0,top
R7,169.25,-93.75,0.0,top
R8,174.76,-93.75,180.0,top
R9,156.51,-96.5,180.0,top
SW1,165.7,-77.0,0.0,top
TH1,149.95,-96.5,0.0,top
TP1,136.5,-82.25,0.0,top
TP2,131.0,-102.5,0.0,top
TP3,215.795,-78.2,0.0,top
TP4,185.0,-91.8,0.0,bottom
TP5,190.8,-89.0,0.0,bottom
TP6,185.0,-94.0,0.0,bottom
U1,185.0,-77.0,270.0,top
U2,198.725,-90.0,0.0,top
U3,135.5,-90.0,0.0,top
U4,134.25,-85.25,180.0,top
U5,172.0,-94.0,0.0,top
U6,217.5,-62.5,0.0,top
U7,126.5,-62.5,0.0,top
U8,172.0,-84.905,90.0,top
U9,206.525,-89.75,180.0,top
Y1,198.95,-84.4,0.0,top
